id,title,x,y,z,heading,source_resource,source_file,source_line,detected_as
"all_npc_0001","NPC — Banking #1","311.731506","-283.444916","54.16436","334.542847","Banking","altf4-banking/peds.lua","7","Ped"
"all_npc_0002","NPC — Banking #2","-353.39975","-54.522366","49.036072","339.896423","Banking","altf4-banking/peds.lua","17","Ped"
"all_npc_0003","NPC — Banking #3","-1211.052979","-335.690094","37.780529","25.629942","Banking","altf4-banking/peds.lua","27","Ped"
"all_npc_0004","NPC — Banking #4","-2957.441895","481.950195","15.697449","83.116119","Banking","altf4-banking/peds.lua","37","Ped"
"all_npc_0005","NPC — Electrician #1","528.77","-1603.26","29.34","","Electrician","altf4-electrician/config/config.lua","45","Npc"
"all_npc_0006","NPC — Fuel Stations #1","854.0","2420.0","55.0","","Fuel Stations","altf4-fuelstations/client/client.lua","492","Npc"
"all_npc_0007","NPC — Fuel Stations #2","849.64","2420.72","54.72","","Fuel Stations","altf4-fuelstations/shared/config.lua","32","Npc"
"all_npc_0008","NPC — Fuel Stations #3","163.568817","-1556.693237","29.261747","216.517944","Fuel Stations","altf4-fuelstations/shared/config.lua","732","Ped"
"all_npc_0009","NPC — Fuel Stations #4","-50.292953","-1759.433838","29.438745","101.092018","Fuel Stations","altf4-fuelstations/shared/config.lua","739","Ped"
"all_npc_0010","NPC — Fuel Stations #5","-529.66394","-1222.055542","18.454994","328.47406","Fuel Stations","altf4-fuelstations/shared/config.lua","746","Ped"
"all_npc_0011","NPC — Fuel Stations #6","-715.666321","-917.070068","19.214361","145.056076","Fuel Stations","altf4-fuelstations/shared/config.lua","753","Ped"
"all_npc_0012","NPC — Fuel Stations #7","289.18576","-1268.289917","29.440758","46.190933","Fuel Stations","altf4-fuelstations/shared/config.lua","760","Ped"
"all_npc_0013","NPC — Fuel Stations #8","817.525635","-1040.777832","26.751604","31.090858","Fuel Stations","altf4-fuelstations/shared/config.lua","767","Ped"
"all_npc_0014","NPC — Fuel Stations #9","1212.205811","-1388.922729","35.376884","180.547546","Fuel Stations","altf4-fuelstations/shared/config.lua","774","Ped"
"all_npc_0015","NPC — Fuel Stations #10","1161.634644","-327.015106","69.21386","185.088028","Fuel Stations","altf4-fuelstations/shared/config.lua","781","Ped"
"all_npc_0016","NPC — Fuel Stations #11","642.299561","260.331299","103.295547","58.641735","Fuel Stations","altf4-fuelstations/shared/config.lua","788","Ped"
"all_npc_0017","NPC — Fuel Stations #12","-1430.372681","-265.816437","46.264618","135.768753","Fuel Stations","altf4-fuelstations/shared/config.lua","795","Ped"
"all_npc_0018","NPC — Fuel Stations #13","-2072.697998","-323.209717","13.315962","80.653572","Fuel Stations","altf4-fuelstations/shared/config.lua","802","Ped"
"all_npc_0019","NPC — Fuel Stations #14","-88.555252","6415.259277","31.640469","22.796034","Fuel Stations","altf4-fuelstations/shared/config.lua","809","Ped"
"all_npc_0020","NPC — Fuel Stations #15","167.28157","6630.96582","31.560051","173.732407","Fuel Stations","altf4-fuelstations/shared/config.lua","816","Ped"
"all_npc_0021","NPC — Fuel Stations #16","1703.43396","6426.983887","32.770962","187.970703","Fuel Stations","altf4-fuelstations/shared/config.lua","823","Ped"
"all_npc_0022","NPC — Fuel Stations #17","1700.095093","4931.483398","42.078156","28.795942","Fuel Stations","altf4-fuelstations/shared/config.lua","830","Ped"
"all_npc_0023","NPC — Fuel Stations #18","2003.481689","3781.133057","32.180824","175.201462","Fuel Stations","altf4-fuelstations/shared/config.lua","837","Ped"
"all_npc_0024","NPC — Fuel Stations #19","1777.253418","3325.788574","41.433285","282.662354","Fuel Stations","altf4-fuelstations/shared/config.lua","844","Ped"
"all_npc_0025","NPC — Fuel Stations #20","2679.801025","3277.643799","55.409233","216.170898","Fuel Stations","altf4-fuelstations/shared/config.lua","851","Ped"
"all_npc_0026","NPC — Fuel Stations #21","1037.837036","2664.224609","39.550854","323.449188","Fuel Stations","altf4-fuelstations/shared/config.lua","858","Ped"
"all_npc_0027","NPC — Fuel Stations #22","267.267059","2598.460693","44.812592","3.387063","Fuel Stations","altf4-fuelstations/shared/config.lua","865","Ped"
"all_npc_0028","NPC — Fuel Stations #23","47.655693","2787.904053","57.878288","157.303818","Fuel Stations","altf4-fuelstations/shared/config.lua","872","Ped"
"all_npc_0029","NPC — Fuel Stations #24","-2548.045654","2316.202637","33.215984","342.85553","Fuel Stations","altf4-fuelstations/shared/config.lua","879","Ped"
"all_npc_0030","NPC — Fuel Stations #25","2530.318848","2599.591064","37.944878","228.579865","Fuel Stations","altf4-fuelstations/shared/config.lua","886","Ped"
"all_npc_0031","NPC — Fuel Stations #26","2559.364746","368.923523","108.621147","260.235168","Fuel Stations","altf4-fuelstations/shared/config.lua","893","Ped"
"all_npc_0032","NPC — Fuel Stations #27","-1819.86084","789.839844","138.141647","239.502075","Fuel Stations","altf4-fuelstations/shared/config.lua","900","Ped"
"all_npc_0033","NPC — Fuel Stations #28","-341.808716","-1479.785889","30.752369","263.254028","Fuel Stations","altf4-fuelstations/shared/config.lua","907","Ped"
"all_npc_0034","NPC — Fuel Stations #29","-1234.958618","6926.216309","20.367811","159.827148","Fuel Stations","altf4-fuelstations/shared/config.lua","914","Ped"
"all_npc_0035","NPC — Fuel Stations #30","-516.311829","7560.71875","6.520532","349.039978","Fuel Stations","altf4-fuelstations/shared/config.lua","921","Ped"
"all_npc_0036","NPC — Fuel Stations #31","-59.542103","-2522.437012","6.15587","144.682144","Fuel Stations","altf4-fuelstations/shared/config.lua","928","Ped"
"all_npc_0037","NPC — Gardener #1","-670.43","-888.99","24.5","","Gardener","altf4-gardener/config/config.lua","42","Npc"
"all_npc_0038","NPC — License #1","-978.894104","-2996.05542","14.101354","58.626904","License","altf4-license/client/main.lua","211","Npc"
"all_npc_0039","Shop NPC — Moneywash #1","5069.286621","-4600.9375","2.858313","346.180084","Moneywash","altf4-moneywash/shared/config.lua","229","Shop Ped"
"all_npc_0040","NPC Route Point — Restaurants #1","256.452118","-819.655701","30.199497","344.651367","Restaurants","altf4-restaurants/shared/config.lua","333","Npc Route"
"all_npc_0041","NPC Route Point — Restaurants #2","265.265564","-834.477905","29.401773","56.770878","Restaurants","altf4-restaurants/shared/config.lua","338","Npc Route"
"all_npc_0042","NPC Route Point — Restaurants #3","247.503448","-827.833862","29.849585","344.298157","Restaurants","altf4-restaurants/shared/config.lua","339","Npc Route"
"all_npc_0043","NPC Route Point — Restaurants #4","248.823822","-822.925842","30.199505","251.473572","Restaurants","altf4-restaurants/shared/config.lua","340","Npc Route"
"all_npc_0044","NPC Route Point — Restaurants #5","247.978104","-820.324951","30.19952","335.3237","Restaurants","altf4-restaurants/shared/config.lua","341","Npc Route"
"all_npc_0045","NPC Route Point — Restaurants #6","249.70697","-816.674072","30.199493","350.177521","Restaurants","altf4-restaurants/shared/config.lua","342","Npc Route"
"all_npc_0046","NPC Route Point — Restaurants #7","248.79097","-817.372437","30.199503","175.50882","Restaurants","altf4-restaurants/shared/config.lua","343","Npc Route"
"all_npc_0047","NPC Route Point — Restaurants #8","248.828049","-823.915894","30.199188","","Restaurants","altf4-restaurants/shared/config.lua","344","Npc Route"
"all_npc_0048","NPC Route Point — Restaurants #9","247.761063","-828.002258","29.84252","","Restaurants","altf4-restaurants/shared/config.lua","345","Npc Route"
"all_npc_0049","NPC Route Point — Restaurants #10","257.598755","-828.368347","29.620247","","Restaurants","altf4-restaurants/shared/config.lua","346","Npc Route"
"all_npc_0050","NPC Route Point — Restaurants #11","-1194.174805","-891.656372","13.987802","123.4907","Restaurants","altf4-restaurants/shared/config.lua","525","Npc Route"
"all_npc_0051","NPC Route Point — Restaurants #12","-1172.701782","-864.142029","14.103651","125.613495","Restaurants","altf4-restaurants/shared/config.lua","530","Npc Route"
"all_npc_0052","NPC Route Point — Restaurants #13","-1179.937866","-869.388916","14.026564","124.799736","Restaurants","altf4-restaurants/shared/config.lua","531","Npc Route"
"all_npc_0053","NPC Route Point — Restaurants #14","-1182.450073","-884.321472","13.762814","122.671089","Restaurants","altf4-restaurants/shared/config.lua","532","Npc Route"
"all_npc_0054","NPC Route Point — Restaurants #15","-1193.987183","-891.994629","13.987802","123.806831","Restaurants","altf4-restaurants/shared/config.lua","533","Npc Route"
"all_npc_0055","NPC Route Point — Restaurants #16","-1184.253662","-885.619019","13.987803","","Restaurants","altf4-restaurants/shared/config.lua","534","Npc Route"
"all_npc_0056","NPC Route Point — Restaurants #17","-1180.737549","-883.391052","13.820096","","Restaurants","altf4-restaurants/shared/config.lua","535","Npc Route"
"all_npc_0057","NPC Route Point — Restaurants #18","-1179.859497","-868.021179","14.021857","","Restaurants","altf4-restaurants/shared/config.lua","536","Npc Route"
"all_npc_0058","NPC Route Point — Restaurants #19","1116.446045","-643.105591","56.817955","6.632532","Restaurants","altf4-restaurants/shared/config.lua","699","Npc Route"
"all_npc_0059","NPC Route Point — Restaurants #20","1124.375488","-661.562622","56.809696","19.307013","Restaurants","altf4-restaurants/shared/config.lua","704","Npc Route"
"all_npc_0060","NPC Route Point — Restaurants #21","1128.217407","-645.725952","56.828182","14.862575","Restaurants","altf4-restaurants/shared/config.lua","705","Npc Route"
"all_npc_0061","NPC Route Point — Restaurants #22","1121.362305","-645.758118","56.813038","101.343239","Restaurants","altf4-restaurants/shared/config.lua","706","Npc Route"
"all_npc_0062","NPC Route Point — Restaurants #23","1116.377319","-647.043457","56.817951","6.756952","Restaurants","altf4-restaurants/shared/config.lua","707","Npc Route"
"all_npc_0063","NPC Route Point — Restaurants #24","1116.446045","-643.104187","56.817955","6.632532","Restaurants","altf4-restaurants/shared/config.lua","708","Npc Route"
"all_npc_0064","NPC Route Point — Restaurants #25","1117.867188","-646.50708","56.817959","272.108948","Restaurants","altf4-restaurants/shared/config.lua","709","Npc Route"
"all_npc_0065","NPC Route Point — Restaurants #26","1120.246094","-646.084778","56.818272","","Restaurants","altf4-restaurants/shared/config.lua","710","Npc Route"
"all_npc_0066","NPC Route Point — Restaurants #27","1127.623291","-645.049927","56.825771","","Restaurants","altf4-restaurants/shared/config.lua","711","Npc Route"
"all_npc_0067","NPC Route Point — Restaurants #28","1518.759399","3779.020996","34.512901","104.793671","Restaurants","altf4-restaurants/shared/config.lua","882","Npc Route"
"all_npc_0068","NPC Route Point — Restaurants #29","1509.007935","3766.229736","34.148045","277.990173","Restaurants","altf4-restaurants/shared/config.lua","887","Npc Route"
"all_npc_0069","NPC Route Point — Restaurants #30","1520.251587","3769.352783","34.194122","310.613342","Restaurants","altf4-restaurants/shared/config.lua","888","Npc Route"
"all_npc_0070","NPC Route Point — Restaurants #31","1529.102539","3778.134033","34.511433","31.380243","Restaurants","altf4-restaurants/shared/config.lua","889","Npc Route"
"all_npc_0071","NPC Route Point — Restaurants #32","1526.615845","3781.681885","34.512501","101.926514","Restaurants","altf4-restaurants/shared/config.lua","890","Npc Route"
"all_npc_0072","NPC Route Point — Restaurants #33","1528.314941","3779.108398","34.512539","","Restaurants","altf4-restaurants/shared/config.lua","893","Npc Route"
"all_npc_0073","NPC Route Point — Restaurants #34","1529.795532","3777.2229","34.511402","","Restaurants","altf4-restaurants/shared/config.lua","894","Npc Route"
"all_npc_0074","NPC Route Point — Restaurants #35","1519.065552","3768.737793","34.190163","","Restaurants","altf4-restaurants/shared/config.lua","895","Npc Route"
"all_npc_0075","NPC Route Point — Restaurants #36","-176.913025","-1441.007324","31.342808","318.839661","Restaurants","altf4-restaurants/shared/config.lua","1048","Npc Route"
"all_npc_0076","NPC Route Point — Restaurants #37","-167.361099","-1463.212036","31.841944","48.520992","Restaurants","altf4-restaurants/shared/config.lua","1053","Npc Route"
"all_npc_0077","NPC Route Point — Restaurants #38","-181.325806","-1446.69812","31.342825","322.057129","Restaurants","altf4-restaurants/shared/config.lua","1054","Npc Route"
"all_npc_0078","NPC Route Point — Restaurants #39","-180.455399","-1445.650879","31.342808","","Restaurants","altf4-restaurants/shared/config.lua","1056","Npc Route"
"all_npc_0079","Guard NPC — Robberies #1","1307.698","4037.544","33.35281","122.0059","Robberies","altf4-robberies/client/boat.lua","2","Guard"
"all_npc_0080","Guard NPC — Robberies #2","1310.441","4036.727","32.21456","169.0713","Robberies","altf4-robberies/client/boat.lua","3","Guard"
"all_npc_0081","Guard NPC — Robberies #3","1314.71","4035.793","31.90124","192.6776","Robberies","altf4-robberies/client/boat.lua","4","Guard"
"all_npc_0082","Guard NPC — Robberies #4","1318.112","4035.435","32.46346","181.3375","Robberies","altf4-robberies/client/boat.lua","5","Guard"
"all_npc_0083","Guard NPC — Robberies #5","1322.101","4035.342","32.60247","179.9348","Robberies","altf4-robberies/client/boat.lua","6","Guard"
"all_npc_0084","Guard NPC — Robberies #6","1325.705","4035.408","33.13883","182.1044","Robberies","altf4-robberies/client/boat.lua","7","Guard"
"all_npc_0085","Guard NPC — Robberies #7","1329.499","4035.841","32.99512","196.469","Robberies","altf4-robberies/client/boat.lua","8","Guard"
"all_npc_0086","Guard NPC — Robberies #8","1333.205","4037.894","33.52337","248.5728","Robberies","altf4-robberies/client/boat.lua","9","Guard"
"all_npc_0087","Guard NPC — Robberies #9","1333.448","4039.927","33.45685","318.2234","Robberies","altf4-robberies/client/boat.lua","10","Guard"
"all_npc_0088","Guard NPC — Robberies #10","1330.202","4041.782","32.5564","335.0409","Robberies","altf4-robberies/client/boat.lua","11","Guard"
"all_npc_0089","Guard NPC — Robberies #11","-3724.724609","3997.716309","50.781799","","Robberies","altf4-robberies/client/boat.lua","269","Guard"
"all_npc_0090","Guard NPC — Robberies #12","-3705.688965","4042.085449","50.709728","","Robberies","altf4-robberies/client/boat.lua","269","Guard"
"all_npc_0091","NPC — Robberies #13","-3709.544434","4010.765625","50.7887","","Robberies","altf4-robberies/client/boat.lua","319","Npc"
"all_npc_0092","Hostage NPC — Robberies #14","884.550964","-2109.712646","31.230328","86.309219","Robberies","altf4-robberies/client/bobcat.lua","29","Hostage"
"all_npc_0093","Guard NPC — Robberies #15","-624.2","-242.51","55.66","","Robberies","altf4-robberies/config.lua","340","Guard"
"all_npc_0094","Guard NPC — Robberies #16","896.725769","-2125.603271","31.230309","320.278564","Robberies","altf4-robberies/config.lua","343","Guard"
"all_npc_0095","Guard NPC — Robberies #17","898.475037","-2129.121094","31.230309","349.445465","Robberies","altf4-robberies/config.lua","344","Guard"
"all_npc_0096","Guard NPC — Robberies #18","894.798767","-2132.855225","31.230309","328.055634","Robberies","altf4-robberies/config.lua","345","Guard"
"all_npc_0097","Guard NPC — Robberies #19","897.960022","-2134.930176","31.230309","352.764038","Robberies","altf4-robberies/config.lua","346","Guard"
"all_npc_0098","Guard NPC — Robberies #20","894.508728","-2135.868164","31.230309","338.335571","Robberies","altf4-robberies/config.lua","347","Guard"
